year,state,state_po,district_id,candidate,party,candidatevotes,totalvotes,vote_pct,avg_poll_pct,n_polls,poll_candidate_matched,match_score,source
1998,California,CA,CA-03,Ross Crain,LIBERTARIAN,4914,192006,2.5593,,,,,MEDSL
1998,California,CA,CA-04,John T Doolittle,REPUBLICAN,155306,248224,62.5669,,,,,MEDSL
1998,California,CA,CA-04,David Shapiro,DEMOCRAT,85394,248224,34.402,,,,,MEDSL
1998,California,CA,CA-04,Dan Winterrowd,LIBERTARIAN,7524,248224,3.0311,,,,,MEDSL
1998,California,CA,CA-05,Robert T Matsui,DEMOCRAT,130715,181768,71.9131,,,,,MEDSL
1998,California,CA,CA-05,Robert S Dinsmore,REPUBLICAN,47307,181768,26.026,,,,,MEDSL
1998,California,CA,CA-05,Douglas Arthur Tuma,LIBERTARIAN,3746,181768,2.0609,,,,,MEDSL
1998,California,CA,CA-06,Lynn C Woolsey,DEMOCRAT,158446,232981,68.0081,,,,,MEDSL
1998,California,CA,CA-06,Ken Mcauliffe,REPUBLICAN,69295,232981,29.7428,,,,,MEDSL
1998,California,CA,CA-06,Alan R Barreca,NATURAL LAW,5240,232981,2.2491,,,,,MEDSL
1998,California,CA,CA-07,George Miller,DEMOCRAT,125842,164132,76.6712,,,,,MEDSL
1998,California,CA,CA-07,Norman H Reece,REPUBLICAN,38290,164132,23.3288,,,,,MEDSL
1998,California,CA,CA-08,Nancy Pelosi,DEMOCRAT,148027,172462,85.8317,,,,,MEDSL
1998,California,CA,CA-08,David J Martz,REPUBLICAN,20781,172462,12.0496,,,,,MEDSL
1998,California,CA,CA-08,David Smithstein,NATURAL LAW,3654,172462,2.1187,,,,,MEDSL
1998,California,CA,CA-09,Barbara Lee,DEMOCRAT,140722,169895,82.8288,,,,,MEDSL
1998,California,CA,CA-09,"Claiborne ""Clay"" Sanders",REPUBLICAN,22431,169895,13.2029,,,,,MEDSL
1998,California,CA,CA-09,Gerald Sanders,PEACE AND FREEDOM,4767,169895,2.8059,,,,,MEDSL
1998,California,CA,CA-09,Walter Ruehlig,NATURAL LAW,1975,169895,1.1625,,,,,MEDSL
1998,California,CA,CA-10,Ellen O Tauscher,DEMOCRAT,127134,237809,53.4606,,,,,MEDSL
1998,California,CA,CA-10,Charles Ball,REPUBLICAN,103299,237809,43.4378,,,,,MEDSL
1998,California,CA,CA-10,Valerie Janlois,NATURAL LAW,3941,237809,1.6572,,,,,MEDSL
1998,California,CA,CA-10,John Place,REFORM,3435,237809,1.4444,,,,,MEDSL
1998,California,CA,CA-11,Richard W Pombo,REPUBLICAN,95496,155449,61.4324,,,,,MEDSL
1998,California,CA,CA-11,Robert L Figueroa,DEMOCRAT,56345,155449,36.2466,,,,,MEDSL
1998,California,CA,CA-11,Jesse Baird,LIBERTARIAN,3608,155449,2.321,,,,,MEDSL
1998,California,CA,CA-12,Tom Lantos,DEMOCRAT,128135,173212,73.9758,,,,,MEDSL
1998,California,CA,CA-12,Robert H Evans,REPUBLICAN,36562,173212,21.1082,,,,,MEDSL
1998,California,CA,CA-12,Michael J Moloney,LIBERTARIAN,8515,173212,4.9159,,,,,MEDSL
1998,California,CA,CA-13,Fortney Pete Stark,DEMOCRAT,101671,142787,71.2047,,,,,MEDSL
